Title,Incident_Count
"VWITS-Unable to log in Zscaler, teams and outlook for new joinee.",5
VWITS-FireEye Alert- POTENTIAL KEEPASS 2.X DATABASE EXFILTRATION (METHODOLOGY) - VWITS,5
VWITS_Eclipse connection to VWT AWS server,5
VWITS_Request to install SAP Logon software on computer with ID - IIINPUNCLCR0020,5
VWITS_Citrix working slow,5
VWITS_PKI card not working,5
VWITS_PKI card not detecting,5
VWITS_Charger not working,5
Request for Attendance Regularization,5
VWITS-FireEye Alert- Malware Object,5
VWITS_PKI Card,5
VWITS-Attendance Regularization in SF,5
VWITS_Open Ai connection to Azure resource fails intermittently,5
VWITS_Need printer access,5
VWITS-Laptop issue,5
VWITS_ Laptop issue,5
VWITS_Zscaler issue,5
"VWITS_I was working on 2nd jan 2026, but on successfactor it is showing happiness holiday, I am not able to manually apply WFH. Please apply Evening shift Work from home on 2nd Jan 2026.",5
"VWITS_My friend's (VICMODF) Smart card is blocked, and he is not able to access the SF or Service portal to create a ticket so I'm reaching out on his behalf.",5
VWITS-Mandatory - Online Information Security Awareness Refresher | Rev5 | Assignment,5
VWITS_azure cli upgrade,5
VWITS_VDI issue,5
VWITS_c drive full issue,5
VWITS_ Regarding Headset issue,5
FireEye Alert- POTENTIAL KEEPASS 2.X DATABASE EXPORT (METHODOLOGY)- VWITS,5
VWITS_PKI PIN issue,5
VWITS-Unable to regularize attendance,5
VWITS_C drive cleanup,5
VWITS_Signature PIN blocked,5
VWITS-Citrix is not working,5
VWITS_Laptop Camera is not working,5
VWITS_VPN Configuration,5
VWITS_Bit locker issue,5
VWITS_Microsoft Teams is not working,5
VWGDS_The Zscaler error occurred,5
VWITS-Regularized Attendance in SF,5
VWGDS_The Zscaler error,5
VWITS-Not able to regularize attendance,5
"VWITS_Hello Team , We need to perform remote test in user machine to perform software complaince check and user is not having admin rights, for that we require your assistance by providing us the admin rights.",5
VWITS_Unable to create digital signature need help in resetting sign pin,5
VWITS_VPN connectivity issue,5
VWITS_Zscalar issue,5
VWITS_success factor,5
VWITS_Laptop hang issue,5
VWITS_unable to login,5
VWITS-Smart card is blocked,5
VWITS_OneConnect URL not working,5
VWITS- unable to connect Zscaler.,4
VWITS-Mouse is not working.,4
VWITS_For new Joiner teams outlook not working,4
VWITS_Headset is not working properly,4
VWITS_Headset requirement,4
VWITS_C drive full issue,4
VWITS-Unable to connect VPN,4
"VWITS_ Facing issue with Outlook and Teams, not able to login it",4
VWITS_Citrix is not working properly,4
VWITS_Headset is not working properly.,4
VWITS-Wi-Fi issue,4
VWITS-Internet is not working,4
Regularize attendance,4
VWITS- Not able to regularize attendance,4
VWITS-Attendance Regularize,4
SuccessFactor Account Locked,4
VWITS_  Install Python Software 3.9.5,4
VWITS-Headset not working properly,4
VWITS_AV not updated,4
VWITS- LMS  Reminder - Mandatory Training Completion,4
VWITS_Headset damaged,4
VWITS-Facing Citrix issue,4
VWITS- Unable to login into successfactor,4
VWITS-MS Teams and outlook not working,4
VWITS-Laptop is not starting,4
VWITS_Cameo System modeler is getting blocked by Trellix Endpoint.,4
VWITS-VPN issue,4
VWITS-Wifi is not working for me on 6th Floore Hudson building.,4
"VWITS-Unable to access Team showing ""You don't have the required permissions to access this org""",4
VWITS-unable to connect to VPN,4
VWITS- DOJ Correction,4
VWITS-Important and Mandatory completion of Anti-Corruption Training,4
VWITS_I Required Teams Recording access for 3months from the date of activation,4
VWITS User is not able to login on MacBook,4
VWITS-Attendance Regularisation,4
VWITS-Mouse is not working properly.,4
Regarding Swipe Out Time Correction Request,4
VWITS-Missing Attendance Record in Attendance Report,4
"VWITS_Currently experiencing an issue where I am unable to perform Git push or pull actions while connected to the office network, as well as when using VPN on a private network. This is impacting my ability to sync code and collaborate effe",4
"VWITS_As current certificate has expired, could you please provide p12 certificate for existing technical user account. Display name and User ID is Systemuser OIP_",4
VWITS-Laptop not starting,4
VWITS-Account is locked,4
VWITS_I'm not able to download terraform modules even though. I have access.,4
VWITS_Need help to upload XML file for Volkswagen system in SAP GUI.,4
VWITS_Jira access,4
VWITS_LAN,4
VWITS_LAN issue,4
VWITS_Laptop  issue,4
VWITS_Laptop charger is not working,4
VWITS_Laptop is not starting,4
VWITS_Laptop keyboard issue,4
VWITS_MS Teams Recording Access,4
VWITS_MS Teams access,4
VWITS_MS Teams not working,4
VWITS_Need HDMI cable,4
VWITS_Need to regularize the attendance for 27th November 2025,4
VWITS_Outlook is not working,4
VWITS_Outlook login issue,4
VWITS_PKI Card replacement,4
VWITS_PKI card is not detecting,4
VWITS_PKI card slot is not working,4
VWITS_PKI card slot not working,4
VWITS_Password issue,4
VWITS_Printer Configuration,4
VWITS_Printer configuration,4
"VWITS_Regarding Security Updates Pending: Hello Team, It has been observed that multiple security updates are pending on several systems. Could you please assist us with the remediation of these vulnerabilities and provide the necessary mitigation steps?",4
